vehicle_id,vehicle_type,make_id,model_year,vehicle_desc,color,date_stolen,location_id,year_stolen,month_stolen,month_name,day_of_week,make_name,make_type,region,country,population,density,vehicle_age,quarter,age_group,is_luxury,is_twowheeler,theft_per_100k,day_order,month_order,quarter_order,age_group_order
1168,Stationwagon,550,1995,ODYSSEY,Blue,2022-01-30,114,2022,1,Jan,Sunday,Honda,Standard,Canterbury,New Zealand,655000.0,14.72,27,Q1,20+ years,0,0,100.76,7,4,1,4
1169,Stationwagon,587,1997,TERRANO,Gold,2022-02-25,115,2022,2,Feb,Friday,Nissan,Standard,Otago,New Zealand,246000.0,7.89,25,Q1,20+ years,0,0,56.5,5,5,1,4
1170,Saloon,587,1996,SUNNY,White,2021-10-20,102,2021,10,Oct,Wednesday,Nissan,Standard,Auckland,New Zealand,1695200.0,343.09,25,Q4,20+ years,0,0,96.15,3,1,4,4
1171,Stationwagon,507,2004,S4,Red,2022-02-07,109,2022,2,Feb,Monday,Audi,Standard,Wellington,New Zealand,543500.0,67.52,18,Q1,11-20 years,0,0,76.72,1,5,1,3
1172,Stationwagon,619,1996,CALDINA,Green,2022-01-19,108,2022,1,Jan,Wednesday,Toyota,Standard,Manawatū-Whanganui,New Zealand,258200.0,11.62,26,Q1,20+ years,0,0,53.83,3,4,1,4
1173,Saloon,548,2004,COMMODORE,Red,2022-01-28,109,2022,1,Jan,Friday,Holden,Standard,Wellington,New Zealand,543500.0,67.52,18,Q1,11-20 years,0,0,76.72,5,4,1,3
1174,Stationwagon,619,1995,HILUX,Gold,2022-03-02,114,2022,3,Mar,Wednesday,Toyota,Standard,Canterbury,New Zealand,655000.0,14.72,27,Q1,20+ years,0,0,100.76,3,6,1,4
1175,Stationwagon,587,1993,SAFARI,Grey,2022-02-10,102,2022,2,Feb,Thursday,Nissan,Standard,Auckland,New Zealand,1695200.0,343.09,29,Q1,20+ years,0,0,96.15,4,5,1,4
1176,Stationwagon,548,2004,ASTRA,Blue,2022-02-27,114,2022,2,Feb,Sunday,Holden,Standard,Canterbury,New Zealand,655000.0,14.72,18,Q1,11-20 years,0,0,100.76,7,5,1,3
1177,Light Van,564,2004,PREGIO,White,2022-02-17,102,2022,2,Feb,Thursday,Kia,Standard,Auckland,New Zealand,1695200.0,343.09,18,Q1,11-20 years,0,0,96.15,4,5,1,3
1178,Stationwagon,540,2004,MONDEO,Red,2021-10-10,102,2021,10,Oct,Sunday,Ford,Standard,Auckland,New Zealand,1695200.0,343.09,17,Q4,11-20 years,0,0,96.15,7,1,4,3
1179,Utility,548,2004,UTE,Black,2022-03-13,101,2022,3,Mar,Sunday,Holden,Standard,Northland,New Zealand,201500.0,16.11,18,Q1,11-20 years,0,0,116.13,7,6,1,3
1180,Stationwagon,619,1993,LANDCRUISER,Silver,2021-11-01,114,2021,11,Nov,Monday,Toyota,Standard,Canterbury,New Zealand,655000.0,14.72,28,Q4,20+ years,0,0,100.76,1,2,4,4
1181,Utility,576,2004,BOUNTY,Silver,2022-03-20,115,2022,3,Mar,Sunday,Mazda,Standard,Otago,New Zealand,246000.0,7.89,18,Q1,11-20 years,0,0,56.5,7,6,1,3
1182,Stationwagon,619,2003,AVENSIS,Silver,2022-02-02,102,2022,2,Feb,Wednesday,Toyota,Standard,Auckland,New Zealand,1695200.0,343.09,19,Q1,11-20 years,0,0,96.15,3,5,1,3
1183,Saloon,619,1996,CARINA,Silver,2021-11-25,104,2021,11,Nov,Thursday,Toyota,Standard,Bay of Plenty,New Zealand,347700.0,28.8,25,Q4,20+ years,0,0,127.98,4,2,4,4
1184,Saloon,580,2003,LANCER,Silver,2022-03-28,102,2022,3,Mar,Monday,Mitsubishi,Standard,Auckland,New Zealand,1695200.0,343.09,19,Q1,11-20 years,0,0,96.15,1,6,1,3
1185,Light Van,619,2000,HIACE,White,2021-11-20,102,2021,11,Nov,Saturday,Toyota,Standard,Auckland,New Zealand,1695200.0,343.09,21,Q4,20+ years,0,0,96.15,6,2,4,4
1186,Mobile Home - Light,580,1983,FUSO,White,2022-01-03,102,2022,1,Jan,Monday,Mitsubishi,Standard,Auckland,New Zealand,1695200.0,343.09,39,Q1,20+ years,0,0,96.15,1,4,1,4
1187,Utility,540,1999,COURIER,Blue,2022-04-06,104,2022,4,Apr,Wednesday,Ford,Standard,Bay of Plenty,New Zealand,347700.0,28.8,23,Q2,20+ years,0,0,127.98,3,7,2,4
1188,Utility,540,2004,COURIER,White,2021-12-04,109,2021,12,Dec,Saturday,Ford,Standard,Wellington,New Zealand,543500.0,67.52,17,Q4,11-20 years,0,0,76.72,6,3,4,3
1189,Stationwagon,610,1996,IMPREZA,Red,2022-02-17,101,2022,2,Feb,Thursday,Subaru,Standard,Northland,New Zealand,201500.0,16.11,26,Q1,20+ years,0,0,116.13,4,5,1,4
1190,Light Van,540,2004,ECONOVAN,White,2022-01-05,109,2022,1,Jan,Wednesday,Ford,Standard,Wellington,New Zealand,543500.0,67.52,18,Q1,11-20 years,0,0,76.72,3,4,1,3
1191,Saloon,540,2004,FALCON,Silver,2022-03-24,102,2022,3,Mar,Thursday,Ford,Standard,Auckland,New Zealand,1695200.0,343.09,18,Q1,11-20 years,0,0,96.15,4,6,1,3
1192,Sports Car,580,1996,FTO,Silver,2022-03-14,102,2022,3,Mar,Monday,Mitsubishi,Standard,Auckland,New Zealand,1695200.0,343.09,26,Q1,20+ years,0,0,96.15,1,6,1,4
1193,Utility,540,2004,COURIER,White,2022-02-22,102,2022,2,Feb,Tuesday,Ford,Standard,Auckland,New Zealand,1695200.0,343.09,18,Q1,11-20 years,0,0,96.15,2,5,1,3
1194,Utility,576,2004,BOUNTY,Green,2022-04-01,114,2022,4,Apr,Friday,Mazda,Standard,Canterbury,New Zealand,655000.0,14.72,18,Q2,11-20 years,0,0,100.76,5,7,2,3
1195,Stationwagon,587,1997,TERRANO,Green,2022-03-24,104,2022,3,Mar,Thursday,Nissan,Standard,Bay of Plenty,New Zealand,347700.0,28.8,25,Q1,20+ years,0,0,127.98,4,6,1,4
1196,Saloon,540,2004,MONDEO,Silver,2022-02-21,101,2022,2,Feb,Monday,Ford,Standard,Northland,New Zealand,201500.0,16.11,18,Q1,11-20 years,0,0,116.13,1,5,1,3
1197,Saloon,587,1998,BLUEBIRD,White,2021-12-30,102,2021,12,Dec,Thursday,Nissan,Standard,Auckland,New Zealand,1695200.0,343.09,23,Q4,20+ years,0,0,96.15,4,3,4,4
1198,Utility,576,2004,BOUNTY,White,2021-11-08,109,2021,11,Nov,Monday,Mazda,Standard,Wellington,New Zealand,543500.0,67.52,17,Q4,11-20 years,0,0,76.72,1,2,4,3
1199,Stationwagon,619,1996,CALDINA,Black,2022-03-13,102,2022,3,Mar,Sunday,Toyota,Standard,Auckland,New Zealand,1695200.0,343.09,26,Q1,20+ years,0,0,96.15,7,6,1,4
1200,Saloon,587,1996,PULSAR,Green,2021-11-04,105,2021,11,Nov,Thursday,Nissan,Standard,Gisborne,New Zealand,52100.0,6.21,25,Q4,20+ years,0,0,335.89,4,2,4,4
1201,Saloon,587,1995,CEFIRO,Purple,2021-10-18,108,2021,10,Oct,Monday,Nissan,Standard,Manawatū-Whanganui,New Zealand,258200.0,11.62,26,Q4,20+ years,0,0,53.83,1,1,4,4
1202,Utility,540,2004,COURIER,Blue,2022-01-31,109,2022,1,Jan,Monday,Ford,Standard,Wellington,New Zealand,543500.0,67.52,18,Q1,11-20 years,0,0,76.72,1,4,1,3
1203,Utility,576,2004,BOUNTY,White,2022-02-01,103,2022,2,Feb,Tuesday,Mazda,Standard,Waikato,New Zealand,513800.0,21.5,18,Q1,11-20 years,0,0,71.82,2,5,1,3
1204,Hatchback,576,1992,AUTOZAM,Red,2021-11-08,114,2021,11,Nov,Monday,Mazda,Standard,Canterbury,New Zealand,655000.0,14.72,29,Q4,20+ years,0,0,100.76,1,2,4,4
1205,Stationwagon,556,1994,MU,Blue,2021-11-15,114,2021,11,Nov,Monday,Isuzu,Standard,Canterbury,New Zealand,655000.0,14.72,27,Q4,20+ years,0,0,100.76,1,2,4,4
1206,Stationwagon,556,2000,WIZARD,White,2022-03-04,102,2022,3,Mar,Friday,Isuzu,Standard,Auckland,New Zealand,1695200.0,343.09,22,Q1,20+ years,0,0,96.15,5,6,1,4
